id,name,address_line1,address_line2,postal_code,timezone
467a6e84-716a-4f79-ac34-d3ccac2d4e1f,"FTD Companies, Inc.",John Wall,Mongar,,Asia/Kolkata
1d8f19b8-3e12-496e-8b09-87f4181f3af7,Macquarie Global Infrastructure Total Return Fund Inc.,Sage,Huaraz,,America/Lima
a14efd98-c484-4bc9-b026-f48eefd3363c,Boston Omaha Corporation,Sycamore,Jacksonville,32204,America/New_York
12fecb01-80e8-46b8-a094-a97e608bcd4a,Unilever PLC,Westerfield,Yongfeng,,Asia/Harbin
6deda776-8e77-4773-8628-873fb706e266,"Commerce Bancshares, Inc.",Muir,Concepcion,7213,Asia/Manila
30802516-e6d8-445c-8b75-3915e1aa2ded,VictoryShares US Large Cap High Div Volatility Wtd ETF,Fremont,Trélazé,49804 CEDEX,Europe/Paris
47c02fb2-4f5c-4a40-98d7-3a0800eae422,"Eagle Bancorp Montana, Inc.",Farmco,Poroj,1216,Europe/Skopje
8bde3e40-6c6e-421a-a94b-9e35917d5abe,Appian Corporation,Dexter,Karakabak,,Asia/Almaty
98600466-ee47-4f3a-b996-91170deedd44,First Trust/Aberdeen Global Opportunity Income Fund,Butternut,El Espino,151247,America/Bogota
1d001e13-eb42-4837-bada-1891813ee94c,LINE Corporation,Havey,Nanam,,Asia/Pyongyang
a9d70c7d-3681-4202-93fd-e36a106a571e,"Alexander & Baldwin Holdings, Inc.",Kenwood,Poxin,,Asia/Chongqing
a091d847-293f-4495-ae10-6b805c16b66a,"Southwest Bancorp, Inc.",Parkside,Thorpe,BD23,Europe/London
64a233e2-720c-4f4f-ab6b-56799ff06abb,Fifth Third Bancorp,Anthes,København,1757,Europe/Copenhagen
e22e1139-cabf-4c64-bd0c-9151226747f8,iShares MSCI Europe Small-Cap ETF,Acker,Nueva Guinea,,America/Managua
a590ad9e-4637-4c86-90b7-0547facb0c0c,Northrim BanCorp Inc,Nevada,Líně,330 21,Europe/Prague
51cd1f5a-f004-4535-8df2-eee8152be612,"PRA Health Sciences, Inc.",Starling,São Luiz Gonzaga,97800-000,America/Sao_Paulo
46dd7a89-0cf3-41cc-9c20-82105e8daec5,Nabriva Therapeutics AG,Vahlen,Jiexiu,,Asia/Chongqing
2a55e17a-5d90-482b-ae32-b64fb1d0834d,Wells Fargo & Company,Dryden,Meiyao,,Asia/Harbin
8cb7c360-7305-4754-ba62-6ac74775f98f,"People&#39;s United Financial, Inc.",Portage,Madimba,,Africa/Dar_es_Salaam
bc6010d4-6c49-4554-a8ac-f682c8441154,Ferro Corporation,Macpherson,Jinhua,,Asia/Pyongyang
d5a7bfcf-38f6-4da2-84dd-df070f1681c3,Steel Partners Holdings LP,Ilene,Changkeng,,Asia/Shanghai
e1765a3e-1d3c-4a95-9c9f-f620de530531,"Stein Mart, Inc.",Magdeline,Mehmand Chak,50281,Asia/Karachi
caffd94c-b43d-4bf0-80f0-c51532fc3fa6,"LeMaitre Vascular, Inc.",Oakridge,Geneng,,Asia/Jakarta
5ead0cd6-e4e8-4003-b08e-ff2153d01760,Eagle Point Credit Company Inc.,1st,Fátima,2495-555,Europe/Lisbon
e3627f03-5776-4388-8280-b604077b3453,WisdomTree Barclays Negative Duration U.S. Aggregate Bond Fund,Vera,Araruama,28970-000,America/Sao_Paulo
d4d55b6f-5a0e-4d40-a3bc-3522abd4285a,"HSN, Inc.",Rusk,Andapa,,Indian/Antananarivo
76e1d1c2-460f-4e89-ba65-f8d3c36718a2,"ARMOUR Residential REIT, Inc.",Hoffman,Kamaishi,409-2522,Asia/Tokyo
4acfe2d4-ee44-47d1-978e-3e47d77231ff,Easterly Acquisition Corp.,Oak,Matagbak,9504,Asia/Manila
8c5a7ca2-4895-40c1-8fae-c9debe31a1b9,Banco Bradesco Sa,Bartillon,Ayamaru,,Asia/Jayapura
57041b62-3352-475a-92ce-8e09893276ab,First Data Corporation,Jay,Hoboksar,,Asia/Almaty
80c9247d-f570-40a7-a31f-7445ef3ca58d,Tsakos Energy Navigation Ltd,Autumn Leaf,Höfn,781,Atlantic/Reykjavik
b7f68ba1-f6c0-45ca-86f7-7e5396c6b712,CDI Corporation,Stang,Mayakovski,,Asia/Yerevan
40c5ddeb-30be-491b-a14f-9098ba83f1ae,"Oclaro, Inc.",New Castle,Monticello,55590,America/Chicago
78cb022f-9b23-41a0-a25a-02967682aca6,"Recon Technology, Ltd.",Mosinee,Gniezno,62-210,Europe/Warsaw
718583cf-026e-4ad1-bd07-1bbcdbf2e2a3,iStar Financial Inc.,Cascade,Yangiobod,,Asia/Tashkent
04bb066a-8b70-430d-99d0-436c209f14a6,Hecla Mining Company,Jay,Carangola,36800-000,America/Sao_Paulo
33c6466d-ef6a-4a39-ab99-e9ca1380516b,Humana Inc.,Dwight,Lelystad,8214,Europe/Amsterdam
b466603f-8b83-4bb7-9e46-6441ed90fba4,"Delcath Systems, Inc.",Center,Orocuina,,America/Tegucigalpa
d8703fb2-4168-40b6-bb4b-4a8a650fe3a5,ECA Marcellus Trust I,Mayfield,Botao,2422,Asia/Manila
0ca705bb-c61c-4dfb-8d84-c1fedac4d6e0,"Essex Property Trust, Inc.",Scott,Säter,783 35,Europe/Stockholm
2ba2b733-76a4-4381-90d0-cb7feba70079,Cushing Renaissance Fund (The),Esch,Phoenix,85010,America/Phoenix
8d7dd44a-8367-4226-9221-b5f3a492af3d,iPath US Treasury 2-year Bear ETN,Tennessee,Sumberbakti,,Asia/Jakarta
4ced2383-3736-4228-8f37-7c3afa743b86,StoneMor Partners L.P.,Namekagon,Jiuheyuan,,Asia/Chongqing
51d94348-5ab6-493e-b75f-fdbde0648cb0,Naked Brand Group Inc.,Vermont,Baisha,,Asia/Chongqing
19b18382-5a1d-4285-be57-f03d10360000,American Homes 4 Rent,Vernon,Kallífytos,,Europe/Athens
6aa2512d-d34b-4fd5-a49c-5f6bc3768674,"NETGEAR, Inc.",Almo,Jianqiao,,Asia/Shanghai
5eff1f28-eb2c-4678-9379-41bdaf6ecbf8,"Bridge Bancorp, Inc.",Commercial,Dorchester,E4K,America/Toronto
26b22551-bd6a-44ea-a7b6-7bf3d632aa1e,Ophthotech Corporation,Annamark,Além Paraíba,36660-000,America/Sao_Paulo
0b7e5d86-b271-42c0-b810-378ce369e1f8,TravelCenters of America LLC,Laurel,Shreveport,71105,America/Chicago
ea3c783d-35bc-4202-afcd-6397e49a6ab6,Nuveen AMT-Free Quality Municipal Income Fund,Crescent Oaks,Niutang,,Asia/Shanghai
2448f559-597e-4d9a-a5e2-aabc748d6d6e,"Chimerix, Inc.",Comanche,Sosnovoborsk,662518,Asia/Krasnoyarsk
e5b4542e-91be-46d9-a642-230d0b59338a,Frontier Communications Corporation,Mayer,Bloomington,47405,America/Indiana/Indianapolis
05705db2-ac6d-40c5-a7bd-bf7ee5016c87,American River Bankshares,Bluestem,Tanjung Palas,,Asia/Jakarta
3d6b8acb-adce-4a05-9dd1-982e74d3c740,"Tailored Brands, Inc.",Troy,Łużna,38-322,Europe/Warsaw
1f50db3a-8e72-4d0e-822f-2fef6d4f6d69,Ivy NextShares,Beilfuss,Cileueur,,Asia/Jakarta
040d89dc-c324-4dc2-af8e-193803f916ce,Concord Medical Services Holdings Limited,Butternut,Gävle,801 33,Europe/Stockholm
4c21bebf-9274-43f4-af3b-c95acaaf7183,Ferrari N.V.,Morning,La Soledad,58118,America/Mexico_City
5c384780-6bbe-489f-80a6-99f6526fcb8a,Unifirst Corporation,Hovde,Przybiernów,72-110,Europe/Warsaw
8aa14fc3-4317-4ad6-ac59-5696536c00fe,"Professional Diversity Network, Inc.",Mayer,Puerto Quijarro,,America/Campo_Grande
101acaf8-ce10-422b-8e52-dea4ebdb1353,PowerShares DWA Emerging Markets Momentum Portfolio,Ludington,Rukaj,,Europe/Tirane
0f11054b-167a-4eef-a0b1-3333d4896524,"Fuwei Films (Holdings) Co., Ltd.",Buhler,Sengeti,,Asia/Jakarta
5f4c1a46-3ae9-4a8c-8617-28b746a0a612,JMP Group LLC,Muir,'Ali Sabieh,,Africa/Djibouti
f76a3a13-5617-4ad4-8b61-da6cc9609954,"Community Health Systems, Inc.",Michigan,Cravinhos,14140-000,America/Sao_Paulo
d26d0b53-5eb2-4207-a9bc-7c8e209c82f6,"JAKKS Pacific, Inc.",Summerview,Malartic,X0G,America/Montreal
13f26e87-93c5-4f36-b5bb-993d433e2430,Kohl&#39;s Corporation,Loeprich,Dijon,21900 CEDEX 9,Europe/Paris
87be10f7-4d0d-44f9-923d-94ac100d9e52,QAD Inc.,Eagle Crest,Fullerton,92835,America/Los_Angeles
f307c51c-c105-47be-9fcf-2ef95d0611dc,ACNB Corporation,Westport,Ozerki,606243,Europe/Moscow
e9b07b18-f302-46c6-a50b-192419acd421,"Cellectar Biosciences, Inc.",Sloan,Imtarfa,ZBG,Europe/Malta
e9b2e2cd-16b4-478c-bb84-23d6bf5ff5e5,"Mobile Mini, Inc.",Lillian,Dukay,2101,Asia/Manila
5c86e91d-8780-45f2-ac25-2b9211ddd92f,"HomeTrust Bancshares, Inc.",Dottie,Vyzhnytsya,,Europe/Uzhgorod
643cc3a1-1efa-438b-84f4-83bf24ef36fb,TFS Financial Corporation,Sullivan,Rengat,,Asia/Jakarta
5238e4da-e824-4e68-b616-b9c9b1e2e45d,Miller/Howard High Income Equity Fund,Ruskin,Guachetá,250618,America/Bogota
03e0c6a2-3dc5-4111-86c5-01aac61e9307,"American Electric Power Company, Inc.",East,Dongjiang Matoukou,,Asia/Shanghai
a9cb5b32-49f8-4f35-be40-82bb5d2f1764,Centrais Electricas Brasileiras S.A.- Eletrobras,Quincy,Hitura,,Asia/Kathmandu
ee9cb914-e464-41e4-899a-374c16c25780,TravelCenters of America LLC,Melby,Santo Domingo,4508,Asia/Manila
f90e8fa7-f1a7-4085-85bb-42432287708c,Teekay Offshore Partners L.P.,Monument,Bang Pakong,24130,Asia/Bangkok
0556ade8-746a-4076-aaa9-9e78211d9d7f,Gabelli Utility Trust (The),Bay,Velká nad Veličkou,696 74,Europe/Prague
7f86d12b-e640-477f-a7dc-c7cbd2db74d5,Heritage Financial Corporation,Menomonie,Balas,2007,Asia/Manila
0c37d591-7752-47f1-8291-ffebe23c4e47,"Social Reality, Inc.",Jenna,Zengguang,,Asia/Chongqing
a00fb2db-ac1a-450b-92b2-27c62befb0bc,"ChemoCentryx, Inc.",Waubesa,Borovlyany,,Europe/Minsk
9862ef59-7630-4506-b06c-82cd81826463,"Cracker Barrel Old Country Store, Inc.",Buell,Al Qanāţir al Khayrīyah,,Africa/Cairo
c32bc680-a19d-4773-9caa-d90420215661,Lamar Advertising Company,Veith,Bukal Sur,4323,Asia/Manila
2a2c5021-1363-485d-a321-ebac28566f5c,"PIMCO Strategic Income Fund, Inc.",Manley,Gigante,414009,America/Bogota
dd41129a-58a4-40b5-a650-1543d6e0b5da,Franklin Universal Trust,Mccormick,Il’ka,671331,Asia/Yakutsk
dd0702b2-2473-40e4-b50b-2eb46b93b8cb,"Proto Labs, Inc.",Ridge Oak,Domanín,593 01,Europe/Bratislava
106405c5-9215-4507-bfbc-5a6bed0bbc3c,Nuveen Real Estate Fund,Farmco,Sabana Grande de Palenque,11704,America/Santo_Domingo
ea6cf514-8bfb-447d-a023-20236748cf2f,Legg Mason US Diversified Core ETF,Grim,Jakobstad,68660,Europe/Helsinki
55e9774e-540f-438b-bf66-a247061d896d,Anworth Mortgage Asset  Corporation,Lukken,Timpas,5805,Asia/Manila
c12550c1-4199-49b7-91db-bd3484c5ef78,"Cedar Realty Trust, Inc.",Bluestem,Huantuo,,Asia/Shanghai
2c16671c-f981-476b-a288-72731a0f9d13,"J.B. Hunt Transport Services, Inc.",Tennyson,Vallauris,06224 CEDEX,Europe/Paris
6c9a3765-5e98-4c67-9c4c-10e1c5ef7de9,iStar Financial Inc.,Kim,Kuanping,,Asia/Chongqing
01e69117-0607-4dfe-8eb7-7c4f6e85fcfe,EVINE Live Inc.,Arapahoe,San Antonio,6407,Asia/Manila
4c1888f7-cc52-4e16-8850-c0b4619491e0,Advent Claymore Convertible Securities and Income Fund II,Northport,Hallsberg,694 24,Europe/Stockholm
27ea311e-1faa-468f-b296-149e4ad54286,Sears Holdings Corporation,Fair Oaks,Krynki,16-120,Europe/Warsaw
57651883-8870-43c2-86e3-22fb58e30801,Stellar Acquisition III Inc.,Nelson,Pavlohrad,,Europe/Zaporozhye
29ca6c93-68ae-49eb-ac3e-c49cefec52ef,Sprague Resources LP,Ryan,Andapa,,Indian/Antananarivo
1727c94e-3963-4064-970f-e5b5bc3000fb,"XO Group, Inc.",Butterfield,Bogojevo,,Europe/Belgrade
703fe244-58b6-447f-ad79-d988223d633e,"XG Technology, Inc",East,Oof,,Asia/Makassar
5c4e3018-ee94-45e7-88e1-e051bb9bc615,"NetEase, Inc.",Ronald Regan,Górzno,87-320,Europe/Warsaw
d31386ef-cef2-4b05-b8c3-409b6469280b,"LM Funding America, Inc.",Barnett,Danyang,,Asia/Shanghai
